classe1,classe2,classe3,classe4,classe5,classe6,codigo,codigo_pai,dispositivo_legal,artigo,sigla,alteracoes,glossario,dt_publicacao,dt_alteracao,dt_inativacao,dt_reativacao
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Transferência Entre Estabelecimentos Penais,Unificação de penas,-,-,-,12728,385,LEP e Lei 11.671/2008,86 (LEP); 1º (Lei 11.6171/2008),TEEP,NA,"Lei 7.210/84, que instituiu a Lei de Execução Penal:

	Art. 86. As penas privativas de liberdade aplicadas pela Justiça de uma Unidade Federativa podem ser executadas em outra unidade, em estabelecimento local ou da União. § 1º - A União Federal poderá construir estabelecimento penal em local distante da condenação para recolher os condenados, quando a medida se justifique no interesse da segurança pública ou do próprio condenado. ... § 3º - Caberá ao juiz competente, a requerimento da autoridade administrativa definir o estabelecimento prisional adequado para abrigar o preso provisório ou condenado, em atenção ao regime e aos requisitos estabelecidos. ... 6

	Lei 11.671/2008, que dispõe sobre a transferência e inclusão de presos em estabelecimentos penais federais de segurança máxima e dá outras providências.

	Art. 1º - A inclusão de presos em estabelecimentos penais federais de segurança máxima e a transferência de presos de outros estabelecimentos para aqueles obedecerão ao disposto nesta Lei.",2020-06-05T00:00:00Z,NA,NA,NA
PROCEDIMENTOS ADMINISTRATIVOS,Transferência Entre Estabelecimentos Penais,Unificação de penas,-,-,-,1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PROCEDIMENTOS ADMINISTRATIVOS,Pedido de Cooperação Judiciária,Unificação de penas,-,-,-,12248,1198,CPC e Resolução CNJ nº 350/2020,"67 a 69 (CPC); 1º a 25 (Res 350, CNJ)",PCoop,NA,"A cooperação judiciária permite a interação entre juízos ou entre órgão judiciário e instituição externa, pública ou privada, para a prática de atos processuais e/ou de administração da justiça, nos termos dos arts. 67 a 69 do CPC e da Resolução n. 350/2020 do Conselho Nacional de Justiça.

	Deve ser utilizada a classe processual “Pedido de Cooperação Jurisdicional” quando for necessário autuar processo específico para a realização do ato de cooperação judiciária.

	CPC, Art. 67. Aos órgãos do Poder Judiciário, estadual ou federal, especializado ou comum, em todas as instâncias e graus de jurisdição, inclusive aos tribunais superiores, incumbe o dever de recíproca cooperação, por meio de seus magistrados e servidores.

	Art. 68. Os juízos poderão formular entre si pedido de cooperação para prática de qualquer ato processual.

	Art. 69. O pedido de cooperação jurisdicional deve ser prontamente atendido, prescinde de forma específica e pode ser executado como:

	I - auxílio direto;

	II - reunião ou apensamento de processos;

	III - prestação de informações;

	IV - atos concertados entre os juízes cooperantes.

	§ 1º As cartas de ordem, precatória e arbitral seguirão o regime previsto neste Código.

	§ 2º Os atos concertados entre os juízes cooperantes poderão consistir, além de outros, no estabelecimento de procedimento para:

	I - a prática de citação, intimação ou notificação de ato;

	II - a obtenção e apresentação de provas e a coleta de depoimentos;

	III - a efetivação de tutela provisória;

	IV - a efetivação de medidas e providências para recuperação e preservação de empresas;

	V - a facilitação de habilitação de créditos na falência e na recuperação judicial;

	VI - a centralização de processos repetitivos;

	VII - a execução de decisão jurisdicional.

	§ 3º O pedido de cooperação judiciária pode ser realizado entre órgãos jurisdicionais de diferentes ramos do Poder Judiciário.",2018-06-25T00:00:00Z,2022-11-28T11:14:14Z,NA,NA
PROCEDIMENTOS ADMINISTRATIVOS,Pedido de Providências,Unificação de penas,-,-,-,1199,1198,"Leis de org. jud., regimentos e normas internas dos tribunais.",NA,PP,NA,"Procedimento destinado à adoção de medidas administrativas, sem caráter disciplinar ou jurisdicional. Pode haver divergência de nomenclatura, dependendo das normas de cada tribunal.",NA,NA,NA,NA
PROCEDIMENTOS ADMINISTRATIVOS,Processo Administrativo,Unificação de penas,-,-,-,1298,1198,"Lei 9.784/99, outras normas federais e normas estaduais.",1º a 70,PA,NA,"Procedimento com destinações diversas no âmbito interno dos tribunais, sem caráter disciplinar e que não se enquadre nas hipóteses abrangidas pelas outras classes. Ex. licitação, procedimentos para aposentadoria, para realização de contratos, etc.",NA,NA,NA,NA
PROCEDIMENTOS ADMINISTRATIVOS,Processo Administrativo Disciplinar em face de Servidor,Unificação de penas,-,-,-,1262,1198,"Lei 8.112/90 e outras leis federais, leis de organização judiciária, leis estaduais, regimentos internos e outras normas dos tribunais.",143 a 182,PADServ,NA,Procedimento destinado a apuração de infração administrativa cometida por servidor.,NA,NA,NA,NA
PROCEDIMENTOS ADMINISTRATIVOS,Reclamação Disciplinar,Unificação de penas,-,-,-,1301,1198,"leis de org. jud., regimentos internos e outras normas dos tribunais.",NA,RD,NA,"Procedimento destinado a averiguar denúncias de irregularidades na atividade de magistrados, servidores ou serviços notariais e de registro do Estado (cartórios extrajudiciais), inclusive por inércia no cumprimento de suas obrigações. Geralmente antecede a instauração de sindicância ou processo administrativo. Pode haver divergência de nomenclaturas, dependendo das normas de cada tribunal (corresponde à representação disciplinar, por exemplo).",NA,NA,NA,NA
PROCEDIMENTOS ADMINISTRATIVOS,Sindicância,Unificação de penas,-,-,-,1308,1198,"Lei 8.112/90, leis de org. judiciária, leis estaduais, regimentos e normas internas dos tribunais.",143 e ss. (Lei 8.6112/1990),Sind,NA,"Glossário: procedimento para apuração de irregularidade praticada por magistrado ou servidor e que pode ensejar a instauração de processo administrativo disciplinar. Pode haver divergência de nomenclatura, dependendo das normas de cada Estado ou tribunal. Art. 143. A autoridade que tiver ciência de irregularidade no serviço público é obrigada a promover a sua apuração imediata, mediante sindicância ou processo administrativo disciplinar, assegurada ao acusado ampla defesa. § 3o A apuração de que trata o caput, por solicitação da autoridade a que se refere, poderá ser promovida por autoridade de órgão ou entidade diverso daquele em que tenha ocorrido a irregularidade, mediante competência específica para tal finalidade, delegada em caráter permanente ou temporário pelo Presidente da República, pelos presidentes das Casas do Poder Legislativo e dos Tribunais Federais e pelo Procurador-Geral da República, no âmbito do respectivo Poder, órgão ou entidade, preservadas as competências para o julgamento que se seguir à apuração. (Incluído pela Lei nº 9.527, de 10.12.97)",NA,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Sindicância,Unificação de penas,-,-,-,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Cível,Unificação de penas,-,-,-,1385,547,NA,NA,SecCiv,NA,NA,NA,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Cível,Processo de Conhecimento,-,-,-,1386,1385,NA,NA,ProCon,NA,NA,NA,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Cível,Processo de Conhecimento,Pedido de Medida de Proteção,-,-,12070,1386,ECA,98 a 102,PedMedProt,NA,"Art. 98. As medidas de proteção à criança e ao adolescente são aplicáveis sempre que os direitos reconhecidos nesta Lei forem ameaçados ou violados:

	I - por ação ou omissão da sociedade ou do Estado;

	II - por falta, omissão ou abuso dos pais ou responsável;

	III - em razão de sua conduta.

	Art. 99. As medidas previstas neste Capítulo poderão ser aplicadas isolada ou cumulativamente, bem como substituídas a qualquer tempo.

	Art. 100. Na aplicação das medidas levar-se-ão em conta as necessidades pedagógicas, preferindo-se aquelas que visem ao fortalecimento dos vínculos familiares e comunitários. 

	        Parágrafo único.  São também princípios que regem a aplicação das medidas:          (Incluído pela Lei nº 12.010, de 2009)       Vigência

	        I - condição da criança e do adolescente como sujeitos de direitos: crianças e adolescentes são os titulares dos direitos previstos nesta e em outras Leis, bem como na Constituição Federal;           (Incluído pela Lei nº 12.010, de 2009)       Vigência

	        II - proteção integral e prioritária: a interpretação e aplicação de toda e qualquer norma contida nesta Lei deve ser voltada à proteção integral e prioritária dos direitos de que crianças e adolescentes são titulares;        (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        III - responsabilidade primária e solidária do poder público: a plena efetivação dos direitos assegurados a crianças e a adolescentes por esta Lei e pela Constituição Federal, salvo nos casos por esta expressamente ressalvados, é de responsabilidade primária e solidária das 3 (três) esferas de governo, sem prejuízo da municipalização do atendimento e da possibilidade da execução de programas por entidades não governamentais;       (Incluído pela Lei nº 12.010, de 2009)       Vigência

	        IV - interesse superior da criança e do adolescente: a intervenção deve atender prioritariamente aos interesses e direitos da criança e do adolescente, sem prejuízo da consideração que for devida a outros interesses legítimos no âmbito da pluralidade dos interesses presentes no caso concreto;       (Incluído pela Lei nº 12.010, de 2009)      Vigência

	        V - privacidade: a promoção dos direitos e proteção da criança e do adolescente deve ser efetuada no respeito pela intimidade, direito à imagem e reserva da sua vida privada;       (Incluído pela Lei nº 12.010, de 2009)       Vigência

	        VI - intervenção precoce: a intervenção das autoridades competentes deve ser efetuada logo que a situação de perigo seja conhecida;        (Incluído pela Lei nº 12.010, de 2009)       Vigência 

	        VII - intervenção mínima: a intervenção deve ser exercida exclusivamente pelas autoridades e instituições cuja ação seja indispensável à efetiva promoção dos direitos e à proteção da criança e do adolescente;          (Incluído pela Lei nº 12.010, de 2009)       Vigência

	        VIII - proporcionalidade e atualidade: a intervenção deve ser a necessária e adequada à situação de perigo em que a criança ou o adolescente se encontram no momento em que a decisão é tomada;           (Incluído pela Lei nº 12.010, de 2009)   Vigência

	        IX - responsabilidade parental: a intervenção deve ser efetuada de modo que os pais assumam os seus deveres para com a criança e o adolescente;           (Incluído pela Lei nº 12.010, de 2009)        Vigência

	X - prevalência da família: na promoção de direitos e na proteção da criança e do adolescente deve ser dada prevalência às medidas que os mantenham ou reintegrem na sua família natural ou extensa ou, se isso não for possível, que promovam a sua integração em família adotiva;             (Redação dada pela Lei nº 13.509, de 2017)

	        XI - obrigatoriedade da informação: a criança e o adolescente, respeitado seu estágio de desenvolvimento e capacidade de compreensão, seus pais ou responsável devem ser informados dos seus direitos, dos motivos que determinaram a intervenção e da forma como esta se processa;           (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        XII - oitiva obrigatória e participação: a criança e o adolescente, em separado ou na companhia dos pais, de responsável ou de pessoa por si indicada, bem como os seus pais ou responsável, têm direito a ser ouvidos e a participar nos atos e na definição da medida de promoção dos direitos e de proteção, sendo sua opinião devidamente considerada pela autoridade judiciária competente, observado o disposto nos §§ 1o e 2o do art. 28 desta Lei.         (Incluído pela Lei nº 12.010, de 2009)        Vigência

	Art. 101. Verificada qualquer das hipóteses previstas no art. 98, a autoridade competente poderá determinar, dentre outras, as seguintes medidas:

	I - encaminhamento aos pais ou responsável, mediante termo de responsabilidade;

	II - orientação, apoio e acompanhamento temporários;

	III - matrícula e freqüência obrigatórias em estabelecimento oficial de ensino fundamental;

	IV - inclusão em serviços e programas oficiais ou comunitários de proteção, apoio e promoção da família, da criança e do adolescente;            (Redação dada pela Lei nº 13.257, de 2016)

	V - requisição de tratamento médico, psicológico ou psiquiátrico, em regime hospitalar ou ambulatorial;

	VI - inclusão em programa oficial ou comunitário de auxílio, orientação e tratamento a alcoólatras e toxicômanos;

	VII - acolhimento institucional;         (Redação dada pela Lei nº 12.010, de 2009)        Vigência

	   VIII - inclusão em programa de acolhimento familiar;      (Redação dada pela Lei nº 12.010, de 2009)        Vigência

	        IX - colocação em família substituta.       (Incluído pela Lei nº 12.010, de 2009)        Vigência

	 

	      § 1o  O acolhimento institucional e o acolhimento familiar são medidas provisórias e excepcionais, utilizáveis como forma de transição para reintegração familiar ou, não sendo esta possível, para colocação em família substituta, não implicando privação de liberdade.          (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        § 2o  Sem prejuízo da tomada de medidas emergenciais para proteção de vítimas de violência ou abuso sexual e das providências a que alude o art. 130 desta Lei, o afastamento da criança ou adolescente do convívio familiar é de competência exclusiva da autoridade judiciária e importará na deflagração, a pedido do Ministério Público ou de quem tenha legítimo interesse, de procedimento judicial contencioso, no qual se garanta aos pais ou ao responsável legal o exercício do contraditório e da ampla defesa.          (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        § 3o  Crianças e adolescentes somente poderão ser encaminhados às instituições que executam programas de acolhimento institucional, governamentais ou não, por meio de uma Guia de Acolhimento, expedida pela autoridade judiciária, na qual obrigatoriamente constará, dentre outros:       (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        I - sua identificação e a qualificação completa de seus pais ou de seu responsável, se conhecidos;      (Incluído pela Lei nº 12.010, de 2009)       Vigência

	        II - o endereço de residência dos pais ou do responsável, com pontos de referência;      (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        III - os nomes de parentes ou de terceiros interessados em tê-los sob sua guarda;      (Incluído pela Lei nº 12.010, de 2009)         Vigência

	        IV - os motivos da retirada ou da não reintegração ao convívio familiar.       (Incluído pela Lei nº 12.010, de 2009)       Vigência

	        § 4o  Imediatamente após o acolhimento da criança ou do adolescente, a entidade responsável pelo programa de acolhimento institucional ou familiar elaborará um plano individual de atendimento, visando à reintegração familiar, ressalvada a existência de ordem escrita e fundamentada em contrário de autoridade judiciária competente, caso em que também deverá contemplar sua colocação em família substituta, observadas as regras e princípios desta Lei.       (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        § 5o  O plano individual será elaborado sob a responsabilidade da equipe técnica do respectivo programa de atendimento e levará em consideração a opinião da criança ou do adolescente e a oitiva dos pais ou do responsável.      (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        § 6o  Constarão do plano individual, dentre outros:      (Incluído pela Lei nº 12.010, de 2009)         Vigência

	        I - os resultados da avaliação interdisciplinar;           (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        II - os compromissos assumidos pelos pais ou responsável; e            (Incluído pela Lei nº 12.010, de 2009)        Vigência

	        III - a previsão das atividades a serem desenvolvidas com a criança ou com o adolescente acolhido e seus pais ou responsável, com vista na reintegração familiar ou, caso seja esta vedada por expressa e fundamentada determinação judicial, as providências a serem tomadas para sua colocação em família substituta, sob direta supervisão da autoridade judiciária.          (Incluído pela Lei nº 12.010, de 2009)   Vigência

	        § 7o  O acolhimento familiar ou institucional ocorrerá no local mais próximo à residência dos pais ou do responsável e, como parte do processo de reintegração familiar, sempre que identificada a necessidade, a família de origem será incluída em programas oficiais de orientação, de apoio e de promoção social, sendo facilitado e estimulado o contato com a criança ou com o adolescente acolhido.         (Incluído pela Lei nº 12.010, de 2009)   Vigência

	         § 8o  Verificada a possibilidade de reintegração familiar, o responsável pelo programa de acolhimento familiar ou institucional fará imediata comunicação à autoridade judiciária, que dará vista ao Ministério Público, pelo prazo de 5 (cinco) dias, decidindo em igual prazo.             (Incluído pela Lei nº 12.010, de 2009)   Vigência

	        § 9o  Em sendo constatada a impossibilidade de reintegração da criança ou do adolescente à família de origem, após seu encaminhamento a programas oficiais ou comunitários de orientação, apoio e promoção social, será enviado relatório fundamentado ao Ministério Público, no qual conste a descrição pormenorizada das providências tomadas e a expressa recomendação, subscrita pelos técnicos da entidade ou responsáveis pela execução da política municipal de garantia do direito à convivência familiar, para a destituição do poder familiar, ou destituição de tutela ou guarda.          (Incluído pela Lei nº 12.010, de 2009)   Vigência

	 

	  § 10.  Recebido o relatório, o Ministério Público terá o prazo de 15 (quinze) dias para o ingresso com a ação de destituição do poder familiar, salvo se entender necessária a realização de estudos complementares ou de outras providências indispensáveis ao ajuizamento da demanda.             (Redação dada pela Lei nº 13.509, de 2017)

	        § 11.  A autoridade judiciária manterá, em cada comarca ou foro regional, um cadastro contendo informações atualizadas sobre as crianças e adolescentes em regime de acolhimento familiar e institucional sob sua responsabilidade, com informações pormenorizadas sobre a situação jurídica de cada um, bem como as providências tomadas para sua reintegração familiar ou colocação em família substituta, em qualquer das modalidades previstas no art. 28 desta Lei.         (Incluído pela Lei nº 12.010, de 2009)   Vigência

	        § 12.  Terão acesso ao cadastro o Ministério Público, o Conselho Tutelar, o órgão gestor da Assistência Social e os Conselhos Municipais dos Direitos da Criança e do Adolescente e da Assistência Social, aos quais incumbe deliberar sobre a implementação de políticas públicas que permitam reduzir o número de crianças e adolescentes afastados do convívio familiar e abreviar o período de permanência em programa de acolhimento.        (Incluído pela Lei nº 12.010, de 2009)   Vigência

	Art. 102. As medidas de proteção de que trata este Capítulo serão acompanhadas da regularização do registro civil.        (Vide Lei nº 12.010, de 2009)   Vigência

	§ 1º Verificada a inexistência de registro anterior, o assento de nascimento da criança ou adolescente será feito à vista dos elementos disponíveis, mediante requisição da autoridade judiciária.

	§ 2º Os registros e certidões necessários à regularização de que trata este artigo são isentos de multas, custas e emolumentos, gozando de absoluta prioridade.

	        § 3o  Caso ainda não definida a paternidade, será  deflagrado procedimento específico destinado à sua averiguação, conforme previsto pela Lei no 8.560, de 29 de dezembro de 1992.        (Incluído pela Lei nº 12.010, de 2009)   Vigência

	         § 4o  Nas hipóteses previstas no § 3o deste artigo, é dispensável o ajuizamento de ação de investigação de paternidade pelo Ministério Público se, após o não comparecimento ou a recusa do suposto pai em assumir a paternidade a ele atribuída, a criança for encaminhada para adoção.          (Incluído pela Lei nº 12.010, de 2009)   Vigência

	         § 5o  Os registros e certidões necessários à inclusão, a qualquer tempo, do nome do pai no assento de nascimento são isentos de multas, custas e emolumentos, gozando de absoluta prioridade.            (Incluído dada pela Lei nº 13.257, de 2016)

	§ 6o  São gratuitas, a qualquer tempo, a averbação requerida do reconhecimento de paternidade no assento de nascimento e a certidão correspondente.            (Incluído dada pela Lei nº 13.257, de 2016)",2016-03-14T00:00:00Z,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Infracional,Processo de Conhecimento,Pedido de Medida de Proteção,-,-,1459,547,NA,NA,SecInfr,NA,NA,NA,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Infracional,Procedimentos Cautelares,Pedido de Medida de Proteção,-,-,12071,1459,NA,NA,ProcCau,NA,NA,2016-03-14T00:00:00Z,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Infracional,Procedimentos Cautelares,Busca e Apreensão Infracional,-,-,12072,12071,ECA,47,BusApreInfr,NA,"Art. 47.  O mandado de busca e apreensão do adolescente terá vigência máxima de 6 (seis) meses, a contar da data da expedição, podendo, se necessário, ser renovado, fundamentadamente.",2016-03-14T00:00:00Z,2018-11-16T18:00:46Z,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Infracional,Procedimentos Cautelares,Internação Provisória,-,-,12073,12071,ECA,108,InterProv,NA,"Art. 108. A internação, antes da sentença, pode ser determinada pelo prazo máximo de quarenta e cinco dias.

	Parágrafo único. A decisão deverá ser fundamentada e basear-se em indícios suficientes de autoria e materialidade, demonstrada a necessidade imperiosa da medida.",2016-03-14T00:00:00Z,NA,NA,NA
PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,Seção Infracional,Procedimentos Cautelares,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,12074,12071,ECA,43 e 44,PedDesReavSubsSus,glossario;,"Esta classe apenas deve ser usada no caso de não haver processo judicial anterior. Do contrário , deve ser feito o pedido incidentalmente nos próprios autos.

	""Art. 43.  A reavaliação da manutenção, da substituição ou da suspensão das medidas de meio aberto ou de privação da liberdade e do respectivo plano individual pode ser solicitada a qualquer tempo, a pedido da direção do programa de atendimento, do defensor, do Ministério Público, do adolescente, de seus pais ou responsável. 

	§ 1o  Justifica o pedido de reavaliação, entre outros motivos: 

	I - o desempenho adequado do adolescente com base no seu plano de atendimento individual, antes do prazo da reavaliação obrigatória; 

	II - a inadaptação do adolescente ao programa e o reiterado descumprimento das atividades do plano individual; e 

	III - a necessidade de modificação das atividades do plano individual que importem em maior restrição da liberdade do adolescente. 

	§ 2o  A autoridade judiciária poderá indeferir o pedido, de pronto, se entender insuficiente a motivação. 

	§ 3o  Admitido o processamento do pedido, a autoridade judiciária, se necessário, designará audiência, observando o princípio do § 1o do art. 42 desta Lei. 

	§ 4o  A substituição por medida mais gravosa somente ocorrerá em situações excepcionais, após o devido processo legal, inclusive na hipótese do inciso III do art. 122 da Lei no 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), e deve ser: 

	I - fundamentada em parecer técnico; 

	II - precedida de prévia audiência, e nos termos do § 1o do art. 42 desta Lei. 

	Art. 44.  Na hipótese de substituição da medida ou modificação das atividades do plano individual, a autoridade judiciária remeterá o inteiro teor da decisão à direção do programa de atendimento, assim como as peças que entender relevantes à nova situação jurídica do adolescente. 

	Parágrafo único.  No caso de a substituição da medida importar em vinculação do adolescente a outro programa de atendimento, o plano individual e o histórico do cumprimento da medida deverão acompanhar a transferência.""",2016-03-14T00:00:00Z,NA,NA,NA
PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS,Seção Infracional,Procedimentos Cautelares,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,11099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS,Pedido de Mediação Pré-Processual,Procedimentos Cautelares,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,12136,11099,"Lei 13.140/2015, CLT, Resolução CNJ 125/2010 e RITST","Art. 1º (Lei 13.140/2015), art. 764 (CLT), art. 4º (Resolução CNJ 125/2010) e art. 36, IV (RITST)",PMPP,NA,Classe a ser utilizada para os pedidos de mediação pré-processual. Trata-se de procedimento anterior à instauração de qualquer procedimento judicial.,2016-09-06T00:00:00Z,2020-03-20T11:00:03Z,NA,NA
PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS,Reclamação Pré-processual,Procedimentos Cautelares,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,11875,11099,Resolução CNJ nº 125/2010,NA,RPP,NA,"Classe que deverá ser utilizada para cadastramento de todas as reclamações pré-processuais (pedidos de mediação ou conciliação pré-processuais). 

	Não se constitui em processo judicial, e sim em procedimento prévio.

	Com exceção da Justiça do Trabalho, na hipótese de haver homologação judicial de acordo obtido nesta fase, o respectivo feito deverá ter sua classe evoluída para 12374 - Homologação de Transação Extrajudicial. Para a Justiça do Trabalho a evolução da classe é facultativa.

	Criação solicitada pelo Comitê Gestor da Conciliação (Resolução CNJ 125) e aprovada na reunião do Comitê das Tabelas de 04/08/20",2011-10-17T00:00:00Z,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Reclamação Pré-processual,Procedimentos Cautelares,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Procedimentos Cautelares,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,214,2,NA,NA,OutPro,NA,NA,NA,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Acordo de Não Persecução Cível,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,15167,214,Lei 8.429/1992,17-B,ANPC,NA,"Classe processual específica para registro de pedidos de homologação de ""Acordo de não persecução cível"" celebrados na fase pré-processual, nos termos autorizados pela parte inicial do § 4º do art. 17-B da Lei n. 8.429/1992, acrescido pela Lei n. 14.230/2021.",2022-09-20T14:57:30Z,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Atos e expedientes,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,-,-,237,214,NA,NA,AtoExp,NA,NA,NA,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Atos e expedientes,Contestação em Foro Diverso,-,-,12139,237,CPC,"340, §1º",ContForoDiv,NA,"Classe para ""distribuição de contestação em foro diverso daquele em que ajuizada a ação - alegação de incompetência absoluta ou relativa"" (art. 340, CPC/2015).",2016-09-06T00:00:00Z,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Atos e expedientes,Nomeação de Advogado,-,-,1701,237,Lei 1060/50,"5º, § 3º",NomAdv,NA,"Art. 5º. O juiz, se não tiver fundadas razões para indeferir o pedido, deverá julgá-lo de plano, motivando ou não o deferimento dentro do prazo de setenta e duas horas. § 3º. Nos municípios em que não existirem subseções da Ordem dos Advogados do Brasil. o próprio juiz fará a nomeação do advogado que patrocinará a causa do necessitado.",NA,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Atos e expedientes,Petição Cível,-,-,241,237,Regimentos Internos e Resolução CJF,NA,PetCiv,NA,Petição inicial avulsa genérica a ser utilizada para os casos de ausência de procedimento próprio na tabela ou incompetência do órgão.,NA,2018-06-25T14:28:10Z,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Cartas,Petição Cível,-,-,257,214,NA,NA,Cartas,NA,Classes exclusivas para o juízo deprecado.,NA,NA,NA,NA
PROCESSO CÍVEL E DO TRABALHO,Outros Procedimentos,Cartas,Carta Arbitral,-,-,12082,257,CPC 2015,"237, IV,",CartArb,NA,"Art. 237. Será expedida carta: IV - arbitral, para que órgão do Poder Judiciário pratique ou determine o cumprimento, na área de sua competência territorial, de ato objeto de pedido de cooperação judiciária formulado por juízo arbitral, inclusive os que importem efetivação de tutela provisória. Parágrafo único. Se o ato relativo a processo em curso na justiça federal ou em tribunal superior houver de ser praticado em local onde não haja vara federal, a carta poderá ser dirigida ao juízo estadual da respectiva comarca.",2016-03-14T00:00:00Z,NA,NA,NA
